Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2023-02-21,X (Nov 2023),0.0000,16.6000,40.0000,0.0000,24.10,0,0,0,0
2023-02-22,X (Nov 2023),0.0000,16.6000,50.0000,0.0000,23.825,-0.275,0,0,0
2023-02-23,X (Nov 2023),23.5000,23.7500,23.4000,23.4000,23.45,-0.375,38,0,31
2023-02-24,X (Nov 2023),23.6400,24.0000,23.6000,23.6500,23.80,0.35,85,0,110
2023-02-27,X (Nov 2023),23.6500,23.7500,23.5600,23.6500,23.575,-0.225,31,0,118
2023-02-28,X (Nov 2023),23.7000,23.7000,23.3000,23.4000,23.35,-0.225,137,0,246
2023-03-01,X (Nov 2023),23.5000,23.6500,23.4000,23.6000,23.575,0.225,172,0,416
2023-03-02,X (Nov 2023),23.6000,23.8000,23.1500,23.2000,23.15,-0.425,91,0,503
2023-03-03,X (Nov 2023),23.1000,23.3000,22.3500,22.8000,22.90,-0.25,35,0,534
2023-03-06,X (Nov 2023),22.6500,22.7500,22.6000,22.6500,22.575,-0.325,11,0,545
2023-03-07,X (Nov 2023),22.7000,22.8000,22.6000,22.7000,22.675,0.100,29,0,570
2023-03-08,X (Nov 2023),22.6500,22.7000,22.5000,22.5500,22.55,-0.125,21,0,582
2023-03-09,X (Nov 2023),22.3500,23.3000,22.2000,23.3000,23.25,0.70,301,0,875
2023-03-10,X (Nov 2023),23.5000,24.8500,23.2000,24.1500,24.175,0.925,472,0,1247
2023-03-13,X (Nov 2023),24.6500,25.0500,23.7500,24.6500,24.575,0.400,58,0,1287
2023-03-14,X (Nov 2023),24.5500,24.6500,23.6000,24.0000,24.05,-0.525,76,0,1305
2023-03-15,X (Nov 2023),24.8500,25.7200,23.9000,25.1500,25.15,1.10,413,0,1576
2023-03-16,X (Nov 2023),24.8500,25.3200,24.3000,24.3200,24.30,-0.85,72,0,1594
2023-03-17,X (Nov 2023),24.7500,25.4500,24.3500,25.4500,25.475,1.175,47,0,1601
2023-03-20,X (Nov 2023),25.8000,26.0500,25.1500,25.3000,25.35,-0.125,121,0,1665
2023-03-21,X (Nov 2023),25.0500,25.2500,24.3000,24.3000,24.275,-1.075,130,0,1737
2023-03-22,X (Nov 2023),24.2000,24.4200,23.7700,24.4200,24.40,0.125,179,0,1835
2023-03-23,X (Nov 2023),24.2500,24.9000,23.8500,24.8000,24.775,0.375,477,0,2153
2023-03-24,X (Nov 2023),24.6000,25.4500,24.5500,24.6500,24.60,-0.175,904,0,2668
2023-03-27,X (Nov 2023),24.5500,24.7000,24.0500,24.1000,24.125,-0.475,233,0,2710
2023-03-28,X (Nov 2023),24.1100,24.2500,23.9300,23.9500,24.00,-0.125,390,0,2740
2023-03-29,X (Nov 2023),23.9800,23.9800,23.6300,23.7000,23.70,-0.30,2008,0,2539
2023-03-30,X (Nov 2023),23.7000,24.0500,23.5500,23.8500,23.875,0.175,1171,0,3194
2023-03-31,X (Nov 2023),23.9000,24.0000,23.7700,23.8500,23.85,-0.025,533,0,3495
2023-04-03,X (Nov 2023),24.0100,24.1000,23.7000,23.7000,23.70,-0.15,424,0,3689
2023-04-04,X (Nov 2023),23.7000,24.3700,23.7000,24.1500,24.225,0.525,1436,0,3741
2023-04-05,X (Nov 2023),24.2000,24.6200,24.2000,24.3500,24.35,0.125,348,0,3805
2023-04-06,X (Nov 2023),24.5000,24.5500,24.2000,24.3500,24.30,-0.05,560,0,3793
2023-04-10,X (Nov 2023),24.3300,24.5500,24.0000,24.0000,24.00,-0.30,480,0,3984
2023-04-11,X (Nov 2023),23.9900,24.0500,23.8000,23.9900,24.00,0.00,829,0,4231
2023-04-12,X (Nov 2023),23.9500,24.0500,23.6600,24.0000,23.975,-0.025,318,0,4329
